,name,qid,measure,value
0,BR(BM25),1,map,0.1962363027200861
6,BR(BM25),11,map,0.25049424299302303
7,BR(BM25),12,map,0.0009657881813717466
8,BR(BM25),13,map,0.028819084331395805
9,BR(BM25),14,map,0.06712861408016359
10,BR(BM25),15,map,0.32066044091257184
11,BR(BM25),17,map,0.04402721365614377
12,BR(BM25),18,map,0.3804945054945055
13,BR(BM25),19,map,0.7479660056174529
1,BR(BM25),2,map,0.07404151404151404
14,BR(BM25),20,map,0.05295679234164604
15,BR(BM25),21,map,0.035773334044058386
16,BR(BM25),22,map,0.26142360510988427
17,BR(BM25),23,map,0.2970066355784907
18,BR(BM25),24,map,0.1656648669994653
19,BR(BM25),25,map,0.11140152561215598
20,BR(BM25),26,map,0.10243115255518945
21,BR(BM25),27,map,0.11740560132280042
22,BR(BM25),28,map,0.049595028303221496
23,BR(BM25),29,map,0.011752136752136752
2,BR(BM25),3,map,0.052948214466676045
24,BR(BM25),30,map,0.1670004299375992
25,BR(BM25),31,map,0.10894982278338519
26,BR(BM25),32,map,0.003928586864698657
27,BR(BM25),33,map,0.28920529670633277
28,BR(BM25),34,map,0.20266825162967594
29,BR(BM25),35,map,0.062481867936810466
30,BR(BM25),36,map,0.0024649054394789665
31,BR(BM25),37,map,0.04986653163583921
32,BR(BM25),38,map,0.32404072658288413
33,BR(BM25),39,map,0.11896666387519837
3,BR(BM25),4,map,0.4343240093240093
34,BR(BM25),40,map,0.07467671249363544
35,BR(BM25),41,map,0.25759780584825626
36,BR(BM25),42,map,0.19895074177025918
37,BR(BM25),43,map,0.21208507944158242
38,BR(BM25),44,map,0.07811092752524618
39,BR(BM25),45,map,0.04640132974983401
40,BR(BM25),46,map,0.23086874397801246
41,BR(BM25),47,map,0.18128223240014799
42,BR(BM25),49,map,0.06349118844380115
4,BR(BM25),5,map,0.18137648450255803
43,BR(BM25),50,map,0.1659557773863571
44,BR(BM25),51,map,0.0470298037311783
45,BR(BM25),52,map,0.10236101836385116
46,BR(BM25),53,map,0.25525174049036425
47,BR(BM25),54,map,0.1680274164967332
48,BR(BM25),55,map,0.08506389120787292
49,BR(BM25),56,map,0.020055768824523947
5,BR(BM25),7,map,0.5410018378007846
