,name,qid,measure,value
0,BR(BM25),1,map,0.19240802792851056
6,BR(BM25),11,map,0.24945502786313584
7,BR(BM25),12,map,0.0010225322280246868
8,BR(BM25),13,map,0.027719081919901592
9,BR(BM25),14,map,0.06688884766459488
10,BR(BM25),15,map,0.3195398035158824
11,BR(BM25),17,map,0.043729911519861844
12,BR(BM25),18,map,0.3804945054945055
13,BR(BM25),19,map,0.7470175421940611
1,BR(BM25),2,map,0.07466666666666666
14,BR(BM25),20,map,0.044172211669560556
15,BR(BM25),21,map,0.03565071142526662
16,BR(BM25),22,map,0.26255145739288493
17,BR(BM25),23,map,0.3095256063166685
18,BR(BM25),24,map,0.163122517770565
19,BR(BM25),25,map,0.11180666116408335
20,BR(BM25),26,map,0.0922558501707417
21,BR(BM25),27,map,0.11680694252063552
22,BR(BM25),28,map,0.04944830504402555
23,BR(BM25),29,map,0.011708126036484245
2,BR(BM25),3,map,0.050857841116411714
24,BR(BM25),30,map,0.17345931193450287
25,BR(BM25),31,map,0.108762621395514
26,BR(BM25),32,map,0.003867706934652646
27,BR(BM25),33,map,0.2707431844918418
28,BR(BM25),34,map,0.2060126446748209
29,BR(BM25),35,map,0.062326867045253524
30,BR(BM25),36,map,0.0026422621850003655
31,BR(BM25),37,map,0.04647880992848581
32,BR(BM25),38,map,0.3172096017987247
33,BR(BM25),39,map,0.11928784994491459
3,BR(BM25),4,map,0.43426573426573417
34,BR(BM25),40,map,0.07357506674501751
35,BR(BM25),41,map,0.2574839252923183
36,BR(BM25),42,map,0.19916790633740794
37,BR(BM25),43,map,0.21170645092231824
38,BR(BM25),44,map,0.08660887887072011
39,BR(BM25),45,map,0.04590732099789874
40,BR(BM25),46,map,0.23098097474081256
41,BR(BM25),47,map,0.18103957220084216
42,BR(BM25),49,map,0.06340626053641282
4,BR(BM25),5,map,0.18601326339848578
43,BR(BM25),50,map,0.17083861253003313
44,BR(BM25),51,map,0.04655958026790887
45,BR(BM25),52,map,0.10567242216642103
46,BR(BM25),53,map,0.2538522817799021
47,BR(BM25),54,map,0.18078071116174524
48,BR(BM25),55,map,0.08457845237871732
49,BR(BM25),56,map,0.019413297991267425
5,BR(BM25),7,map,0.5409940979563072
