,name,qid,measure,value
0,BR(BM25),1,map,0.1948537699424223
6,BR(BM25),11,map,0.24838012316599692
7,BR(BM25),12,map,0.000962059620596206
8,BR(BM25),13,map,0.02881870347841309
9,BR(BM25),14,map,0.06958723568409074
10,BR(BM25),15,map,0.3206480070980804
11,BR(BM25),17,map,0.045076140761199895
12,BR(BM25),18,map,0.3803191489361702
13,BR(BM25),19,map,0.7302178237859733
1,BR(BM25),2,map,0.0740096618357488
14,BR(BM25),20,map,0.05295679234164604
15,BR(BM25),21,map,0.0358330047343457
16,BR(BM25),22,map,0.2604883619592447
17,BR(BM25),23,map,0.3056358015193301
18,BR(BM25),24,map,0.16239504651295097
19,BR(BM25),25,map,0.11310870887109124
20,BR(BM25),26,map,0.09225056857930229
21,BR(BM25),27,map,0.12030267098625767
22,BR(BM25),28,map,0.049019517060797824
23,BR(BM25),29,map,0.010611620795107034
2,BR(BM25),3,map,0.056646047329276875
24,BR(BM25),30,map,0.16694490608234983
25,BR(BM25),31,map,0.10689795844943986
26,BR(BM25),32,map,0.0040007784869157135
27,BR(BM25),33,map,0.27467221074467535
28,BR(BM25),34,map,0.20263482118685736
29,BR(BM25),35,map,0.06237782921094171
30,BR(BM25),36,map,0.0026103271919707322
31,BR(BM25),37,map,0.03760743388667677
32,BR(BM25),38,map,0.3010284334741086
33,BR(BM25),39,map,0.12420035928330773
3,BR(BM25),4,map,0.4342354902481485
34,BR(BM25),40,map,0.07660179265922885
35,BR(BM25),41,map,0.25473424850661386
36,BR(BM25),42,map,0.20801989866679998
37,BR(BM25),43,map,0.21234695510794552
38,BR(BM25),44,map,0.08224407872323759
39,BR(BM25),45,map,0.03912178883167136
40,BR(BM25),46,map,0.23107048429555618
41,BR(BM25),47,map,0.18075560731055873
42,BR(BM25),49,map,0.06606836076523635
4,BR(BM25),5,map,0.18089075276575273
43,BR(BM25),50,map,0.15700254949266806
44,BR(BM25),51,map,0.04613821671400683
45,BR(BM25),52,map,0.1043719390257144
46,BR(BM25),53,map,0.25524939662107804
47,BR(BM25),54,map,0.1739820852821037
48,BR(BM25),55,map,0.0912020307978997
49,BR(BM25),56,map,0.01992732143342473
5,BR(BM25),7,map,0.5412892965160239
