,name,qid,measure,value
0,BR(BM25),1,map,0.19241188518317348
6,BR(BM25),11,map,0.2493395633973323
7,BR(BM25),12,map,0.0010225322280246868
8,BR(BM25),13,map,0.028631067466345746
9,BR(BM25),14,map,0.06880142018580096
10,BR(BM25),15,map,0.3198233880240658
11,BR(BM25),17,map,0.043562738183286105
12,BR(BM25),18,map,0.3798076923076923
13,BR(BM25),19,map,0.7468272152795963
1,BR(BM25),2,map,0.07397849462365591
14,BR(BM25),20,map,0.05268156709804308
15,BR(BM25),21,map,0.03572501610440801
16,BR(BM25),22,map,0.26013250130235255
17,BR(BM25),23,map,0.3090047899369934
18,BR(BM25),24,map,0.16238042711081144
19,BR(BM25),25,map,0.11390733136192152
20,BR(BM25),26,map,0.0922030864706799
21,BR(BM25),27,map,0.12029882496454171
22,BR(BM25),28,map,0.04900965957539307
23,BR(BM25),29,map,0.010600600600600602
2,BR(BM25),3,map,0.05596677842879168
24,BR(BM25),30,map,0.1735083408101233
25,BR(BM25),31,map,0.10685687713820706
26,BR(BM25),32,map,0.003977217599904221
27,BR(BM25),33,map,0.27467221074467535
28,BR(BM25),34,map,0.2060016460714702
29,BR(BM25),35,map,0.062226289932345365
30,BR(BM25),36,map,0.002588244214921209
31,BR(BM25),37,map,0.037569458953119785
32,BR(BM25),38,map,0.32906907022811843
33,BR(BM25),39,map,0.12387114572237141
3,BR(BM25),4,map,0.4341772151898734
34,BR(BM25),40,map,0.07592627076764508
35,BR(BM25),41,map,0.2568162896694357
36,BR(BM25),42,map,0.20831043559665302
37,BR(BM25),43,map,0.21240023335990324
38,BR(BM25),44,map,0.08657545755663545
39,BR(BM25),45,map,0.037848527712126115
40,BR(BM25),46,map,0.2309954545232044
41,BR(BM25),47,map,0.18057804232804237
42,BR(BM25),49,map,0.06579397079489872
4,BR(BM25),5,map,0.1807879275334712
43,BR(BM25),50,map,0.171369409238163
44,BR(BM25),51,map,0.04610883098818891
45,BR(BM25),52,map,0.1040717232536903
46,BR(BM25),53,map,0.25452711806302963
47,BR(BM25),54,map,0.17393940495773325
48,BR(BM25),55,map,0.09146157636746613
49,BR(BM25),56,map,0.01978561437018015
5,BR(BM25),7,map,0.5412981894231893
