,name,qid,measure,value
0,BR(BM25),1,map,0.12686577721512274
6,BR(BM25),11,map,0.210811214389678
7,BR(BM25),12,map,0.011863462076782322
8,BR(BM25),13,map,0.10164972045684005
9,BR(BM25),14,map,0.043194138557456366
10,BR(BM25),15,map,0.46546463023735735
11,BR(BM25),17,map,0.045356640742282
12,BR(BM25),18,map,0.37774725274725274
13,BR(BM25),19,map,0.6446065059673101
1,BR(BM25),2,map,0.06722156387345174
14,BR(BM25),20,map,0.14385379462738976
15,BR(BM25),21,map,0.060759751956670986
16,BR(BM25),22,map,0.2688023057530829
17,BR(BM25),23,map,0.30575122727620513
18,BR(BM25),24,map,0.2445030330465931
19,BR(BM25),25,map,0.096942312175097
20,BR(BM25),26,map,0.05843303038424989
21,BR(BM25),27,map,0.09989086059055129
22,BR(BM25),28,map,0.05626281475338078
23,BR(BM25),29,map,0.007577268195413758
2,BR(BM25),3,map,0.04310537037048825
24,BR(BM25),30,map,0.17029986821588664
25,BR(BM25),31,map,0.19720708796339048
26,BR(BM25),32,map,0.01520965037319527
27,BR(BM25),33,map,0.27080172029393296
28,BR(BM25),34,map,0.1657910107910108
29,BR(BM25),35,map,0.09678038694432135
30,BR(BM25),36,map,0.002785128756106724
31,BR(BM25),37,map,0.059117881709743504
32,BR(BM25),38,map,0.1727400790485931
33,BR(BM25),39,map,0.13498740495178493
3,BR(BM25),4,map,0.44347402597402596
34,BR(BM25),40,map,0.1133662666591016
35,BR(BM25),41,map,0.21033167574941225
36,BR(BM25),42,map,0.1869901962349632
37,BR(BM25),43,map,0.2124509374180989
38,BR(BM25),44,map,0.055121239742991615
39,BR(BM25),45,map,0.07596524867763156
40,BR(BM25),46,map,0.23108776956392266
41,BR(BM25),47,map,0.16324888809198265
42,BR(BM25),49,map,0.07143994553358662
4,BR(BM25),5,map,0.2810873539443863
43,BR(BM25),50,map,0.2171509874525525
44,BR(BM25),51,map,0.05169389566249711
45,BR(BM25),52,map,0.08564319168986051
46,BR(BM25),53,map,0.34884807482611185
47,BR(BM25),54,map,0.24801312722365354
48,BR(BM25),55,map,0.09123262977606715
49,BR(BM25),56,map,0.07432627374899063
5,BR(BM25),7,map,0.538250894890986
