,name,qid,measure,value
0,BR(BM25),1,map,0.13720361827723135
6,BR(BM25),11,map,0.2279147807398247
7,BR(BM25),12,map,0.0024728067132995125
8,BR(BM25),13,map,0.12577519379844962
9,BR(BM25),14,map,0.05554333413587402
10,BR(BM25),15,map,0.4770418805745788
11,BR(BM25),17,map,0.04467441959223763
12,BR(BM25),18,map,0.3784246575342466
13,BR(BM25),19,map,0.5827177834327939
1,BR(BM25),2,map,0.11825909129102045
14,BR(BM25),20,map,0.1047563631525663
15,BR(BM25),21,map,0.049827745078455304
16,BR(BM25),22,map,0.2609975452752059
17,BR(BM25),23,map,0.29696924451878676
18,BR(BM25),24,map,0.24428677095330814
19,BR(BM25),25,map,0.10572347765221983
20,BR(BM25),26,map,0.10600455721860166
21,BR(BM25),27,map,0.05780691158329762
22,BR(BM25),28,map,0.05136667279524423
23,BR(BM25),29,map,0.05099636641805316
2,BR(BM25),3,map,0.04109839934496203
24,BR(BM25),30,map,0.15617035875014534
25,BR(BM25),31,map,0.08523074632247114
26,BR(BM25),32,map,0.011585656889321375
27,BR(BM25),33,map,0.2947800886258842
28,BR(BM25),34,map,0.1863487863487863
29,BR(BM25),35,map,0.06756046825319932
30,BR(BM25),36,map,0.0006130233402960677
31,BR(BM25),37,map,0.07430337035452433
32,BR(BM25),38,map,0.2355972253879265
33,BR(BM25),39,map,0.12958352989522676
3,BR(BM25),4,map,0.3901084917322319
34,BR(BM25),40,map,0.06535656703833874
35,BR(BM25),41,map,0.21511906669604708
36,BR(BM25),42,map,0.17139541493202423
37,BR(BM25),43,map,0.21849313217139563
38,BR(BM25),44,map,0.06927841642317323
39,BR(BM25),45,map,0.05879650299373551
40,BR(BM25),46,map,0.2307827553484874
41,BR(BM25),47,map,0.15552794430524564
42,BR(BM25),49,map,0.023677677216935703
4,BR(BM25),5,map,0.3388900394482203
43,BR(BM25),50,map,0.23140728088326218
44,BR(BM25),51,map,0.06845282638419513
45,BR(BM25),52,map,0.10301389532097059
46,BR(BM25),53,map,0.37337662337662336
47,BR(BM25),54,map,0.24538323251825736
48,BR(BM25),55,map,0.09890094961702281
49,BR(BM25),56,map,0.026514425811905485
5,BR(BM25),7,map,0.5459644331416778
