,name,qid,measure,value
0,BR(BM25),1,map,0.13787514302027584
6,BR(BM25),11,map,0.17605293792273718
7,BR(BM25),12,map,0.00279218133075265
8,BR(BM25),13,map,0.11533748114630467
9,BR(BM25),14,map,0.051180662438158206
10,BR(BM25),15,map,0.47199136373777506
11,BR(BM25),17,map,0.048544051612474534
12,BR(BM25),18,map,0.3784013605442177
13,BR(BM25),19,map,0.5884573406343441
1,BR(BM25),2,map,0.11037945129001285
14,BR(BM25),20,map,0.10430863012847313
15,BR(BM25),21,map,0.051683758788450954
16,BR(BM25),22,map,0.26043825838469875
17,BR(BM25),23,map,0.3177008187900374
18,BR(BM25),24,map,0.2410601103027273
19,BR(BM25),25,map,0.09254628761099458
20,BR(BM25),26,map,0.08091844178886365
21,BR(BM25),27,map,0.07167386370227737
22,BR(BM25),28,map,0.05328237557795087
23,BR(BM25),29,map,0.026214663635529552
2,BR(BM25),3,map,0.04527690113793473
24,BR(BM25),30,map,0.17460554617283364
25,BR(BM25),31,map,0.20280960869196166
26,BR(BM25),32,map,0.012649110820895898
27,BR(BM25),33,map,0.3014656258919167
28,BR(BM25),34,map,0.1819802929749406
29,BR(BM25),35,map,0.06744829244829244
30,BR(BM25),36,map,0.0021437715271285032
31,BR(BM25),37,map,0.07402121600580441
32,BR(BM25),38,map,0.23172565027474454
33,BR(BM25),39,map,0.13034798589964483
3,BR(BM25),4,map,0.3888802931989826
34,BR(BM25),40,map,0.06278060893492193
35,BR(BM25),41,map,0.20042562814844808
36,BR(BM25),42,map,0.17123690232210118
37,BR(BM25),43,map,0.21797901213429027
38,BR(BM25),44,map,0.054870843987971485
39,BR(BM25),45,map,0.06925241964377558
40,BR(BM25),46,map,0.23091810333550894
41,BR(BM25),47,map,0.14783439646146365
42,BR(BM25),49,map,0.045949222788264785
4,BR(BM25),5,map,0.34364582428519247
43,BR(BM25),50,map,0.2313851429900023
44,BR(BM25),51,map,0.06381874507579981
45,BR(BM25),52,map,0.0977921497238306
46,BR(BM25),53,map,0.38794466403162053
47,BR(BM25),54,map,0.2630890800979486
48,BR(BM25),55,map,0.09571072839451511
49,BR(BM25),56,map,0.027600285306120485
5,BR(BM25),7,map,0.5432254981190571
