,name,qid,measure,value
0,BR(BM25),1,map,0.12530824993950376
6,BR(BM25),11,map,0.15961982696159913
7,BR(BM25),12,map,0.01122700227403288
8,BR(BM25),13,map,0.12626890067302224
9,BR(BM25),14,map,0.044944839147420756
10,BR(BM25),15,map,0.4734218258314643
11,BR(BM25),17,map,0.04416404409825231
12,BR(BM25),18,map,0.3774752475247525
13,BR(BM25),19,map,0.6629202204556454
1,BR(BM25),2,map,0.09641697076604912
14,BR(BM25),20,map,0.13193769764442634
15,BR(BM25),21,map,0.0584044589372995
16,BR(BM25),22,map,0.2690994065400828
17,BR(BM25),23,map,0.30565779107187
18,BR(BM25),24,map,0.24385226777037117
19,BR(BM25),25,map,0.09883579228638602
20,BR(BM25),26,map,0.05330979851702261
21,BR(BM25),27,map,0.050659323067740444
22,BR(BM25),28,map,0.05037559206058041
23,BR(BM25),29,map,0.021626016260162605
2,BR(BM25),3,map,0.039162288325189684
24,BR(BM25),30,map,0.17230429070860873
25,BR(BM25),31,map,0.21951670146396313
26,BR(BM25),32,map,0.015170153615286565
27,BR(BM25),33,map,0.20798980772143444
28,BR(BM25),34,map,0.11397843136173402
29,BR(BM25),35,map,0.0657348925636707
30,BR(BM25),36,map,0.0007461716653542405
31,BR(BM25),37,map,0.061270415563981676
32,BR(BM25),38,map,0.16580912711717713
33,BR(BM25),39,map,0.1360612300796922
3,BR(BM25),4,map,0.4422933884297521
34,BR(BM25),40,map,0.2604936935492491
35,BR(BM25),41,map,0.20616283436893285
36,BR(BM25),42,map,0.19381615295337384
37,BR(BM25),43,map,0.20467924055526598
38,BR(BM25),44,map,0.045465267100390304
39,BR(BM25),45,map,0.06503251765907442
40,BR(BM25),46,map,0.23410771804891445
41,BR(BM25),47,map,0.16053902699376138
42,BR(BM25),49,map,0.06951976422511322
4,BR(BM25),5,map,0.37735999037482737
43,BR(BM25),50,map,0.2141849643392394
44,BR(BM25),51,map,0.04291090120667936
45,BR(BM25),52,map,0.09413152572234594
46,BR(BM25),53,map,0.38560606060606056
47,BR(BM25),54,map,0.26203103582411386
48,BR(BM25),55,map,0.09379337876298252
49,BR(BM25),56,map,0.0842303875983777
5,BR(BM25),7,map,0.5657366758626204
